,Year,Month,Day,User Score,Title,Genre,Duration [minutes],Director,Lead_Actor_1,Lead_Actor_2,Budget [USD],Revenue [USD],Language,Classification
13,2018,Nov,15,85,Burn the Stage: The Movie (2018),['Music'],85,Park Jun-soo,Kim Nam-joon,Kim Seok-jin,-,-,Korean,ALL
14,1994,Sep,10,85,Pulp Fiction (1994),"['Thriller', 'Crime']",154,Quentin Tarantino,John Travolta,Samuel L. Jackson,"$8,000,000.00","$214,179,088.00",English,C
15,1966,Dec,23,85,"The Good, the Bad and the Ugly (1966)",['Western'],161,Sergio Leone,Clint Eastwood,Eli Wallach,"$1,200,000.00","$25,253,887.00",Italian,C
16,2019,Aug,07,85,Bring the Soul: The Movie (2019),"['Music', 'Documentary']",105,Park Jun-soo,Kim Nam-joon,Kim Seok-jin,-,-,Korean,ALL
17,1994,Jun,23,85,Forrest Gump (1994),"['Comedy', 'Drama', 'Romance']",142,Robert Zemeckis,Tom Hanks,Robin Wright,"$55,000,000.00","$677,387,716.00",English,PG13
18,2003,Dec,01,85,The Lord of the Rings: The Return of the King (2003),"['Adventure', 'Fantasy', 'Action']",201,Peter Jackson,Elijah Wood,Ian McKellen,"$94,000,000.00","$1,118,888,979.00",English,B
19,1990,Sep,12,85,GoodFellas (1990),"['Drama', 'Crime']",145,Martin Scorsese,Ray Liotta,Robert De Niro,"$25,000,000.00","$46,835,000.00",English,R
20,2020,Nov,19,85,Gabriel's Inferno: Part III (2020),"['Romance', 'Comedy']",105,Tosca Musk,Melanie Zanetti,Giulio Berruti,-,-,English,
21,1988,Nov,17,85,Cinema Paradiso (1988),"['Drama', 'Romance']",124,Giuseppe Tornatore,Philippe Noiret,Jacques Perrin,"$5,000,000.00","$11,990,401.00",Italian,PG
22,1997,Dec,20,85,Life Is Beautiful (1997),"['Comedy', 'Drama']",116,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,"$20,000,000.00","$230,098,753.00",Italian,B15
23,1954,Apr,26,85,Seven Samurai (1954),"['Action', 'Drama']",207,Akira Kurosawa,Toshirō Mifune,Takashi Shimura,"$2,000,000.00","$346,300.00",Japanese,NR
24,1962,Sep,15,84,Harakiri (1962),"['Action', 'Drama', 'History']",135,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,-,-,Japanese,NR
25,1960,Jun,22,84,Psycho (1960),"['Horror', 'Drama', 'Thriller']",109,Alfred Hitchcock,Anthony Perkins,Janet Leigh,"$806,947.00","$50,000,000.00",English,R
26,1984,May,23,84,Once Upon a Time in America (1984),"['Drama', 'Crime']",229,Sergio Leone,Robert De Niro,James Woods,"$30,000,000.00","$5,472,914.00",English,R
27,1988,Apr,16,84,Grave of the Fireflies (1988),"['Animation', 'Drama', 'War']",89,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,"$3,700,000.00","$516,962.00",Japanese,PG13
28,1975,Nov,19,84,One Flew Over the Cuckoo's Nest (1975),['Drama'],133,Miloš Forman,Jack Nicholson,Louise Fletcher,"$3,000,000.00","$108,981,275.00",English,R
29,1999,Oct,15,84,Fight Club (1999),"['Drama', 'Thriller', 'Comedy']",139,David Fincher,Edward Norton,Brad Pitt,"$63,000,000.00","$100,853,753.00",English,C
30,2000,Sep,15,84,A Dog's Will (2000),"['Comedy', 'Drama', 'Fantasy']",104,Guel Arraes,Matheus Nachtergaele,Selton Mello,-,"$4,903,192.00",Portuguese,L
31,2013,Oct,02,84,Hope (2013),"['Drama', 'Family']",122,Lee Joon-ik,Sol Kyung-gu,Uhm Ji-won,-,-,Korean,12
32,2013,Aug,29,84,One Direction: This Is Us (2013),"['Documentary', 'Music']",92,Morgan Spurlock,Harry Styles,Niall Horan,"$10,000,000.00","$68,500,000.00",English,PG
33,2002,Feb,05,84,City of God (2002),"['Drama', 'Crime']",130,Paulo Lins,Alexandre Rodrigues,Leandro Firmino,"$3,300,000.00","$30,641,770.00",Portuguese,R
34,2018,Dec,06,84,Spider-Man: Into the Spider-Verse (2018),"['Action', 'Adventure', 'Animation', 'Science Fiction']",117,Rodney Rothman,Shameik Moore,Jake Johnson,"$90,000,000.00","$375,540,831.00",English,A
35,2011,Sep,17,84,Hotarubi no Mori e (2011),"['Romance', 'Animation', 'Fantasy']",45,Takahiro Omori,Izumi Sawada,Hayato Taya,-,-,Japanese,G
36,2016,Sep,17,84,A Silent Voice: The Movie (2016),"['Animation', 'Drama']",130,Naoko Yamada,Miyu Irino,Saori Hayami,-,"$30,156,463.00",Japanese,PG13
37,2004,Sep,09,84,Howl's Moving Castle (2004),"['Fantasy', 'Animation', 'Adventure']",119,Hayao Miyazaki,Chieko Baisho,Takuya Kimura,"$24,000,000.00","$236,049,757.00",Japanese,A
38,1980,May,20,84,The Empire Strikes Back (1980),"['Adventure', 'Action', 'Science Fiction']",124,Irvin Kershner,Mark Hamill,Harrison Ford,"$18,000,000.00","$538,400,000.00",English,A
39,2019,Jan,26,84,BTS World Tour: Love Yourself in Seoul (2019),['Music'],113,Son Sung-deuk,Kim Nam-joon,Kim Seok-jin,-,-,Korean,U
40,2001,Dec,18,84,The Lord of the Rings: The Fellowship of the Ring (2001),"['Adventure', 'Fantasy', 'Action']",179,Peter Jackson,Elijah Wood,Ian McKellen,"$93,000,000.00","$871,368,364.00",English,B
41,1997,Jul,19,84,Neon Genesis Evangelion: The End of Evangelion (1997),"['Drama', 'Animation', 'Science Fiction', 'Action']",87,Hideaki Anno,Megumi Ogata,Megumi Hayashibara,-,"$20,000,000.00",Japanese,C
42,2014,Nov,05,84,Interstellar (2014),"['Adventure', 'Drama', 'Science Fiction']",169,Christopher Nolan,Matthew McConaughey,Anne Hathaway,"$165,000,000.00","$701,729,206.00",English,B
43,2002,Sep,17,84,The Pianist (2002),"['Drama', 'War']",150,Roman Polanski,Adrien Brody,Thomas Kretschmann,"$35,000,000.00","$120,072,577.00",English,R
44,1950,Aug,10,84,Sunset Boulevard (1950),['Drama'],110,Billy Wilder,William Holden,Gloria Swanson,"$1,752,000.00","$5,000,000.00",English,PG
45,2021,Mar,08,84,Evangelion: 3.0+1.0 Thrice Upon a Time (2021),"['Animation', 'Action', 'Science Fiction', 'Drama']",155,Hideaki Anno,Megumi Ogata,Yuko Miyamura,-,"$92,246,218.00",Japanese,B15
46,2014,Oct,10,84,Whiplash (2014),"['Drama', 'Music']",107,Damien Chazelle,Miles Teller,J.K. Simmons,"$3,300,000.00","$13,092,000.00",English,R
47,2002,Dec,18,84,The Lord of the Rings: The Two Towers (2002),"['Adventure', 'Fantasy', 'Action']",179,Peter Jackson,Elijah Wood,Ian McKellen,"$79,000,000.00","$926,287,400.00",English,B
48,1998,Jul,01,84,American History X (1998),['Drama'],119,Tony Kaye,Edward Norton,Edward Furlong,"$20,000,000.00","$23,875,127.00",English,R
49,1954,Aug,01,84,Rear Window (1954),"['Thriller', 'Mystery']",112,Cornell Woolrich,James Stewart,Grace Kelly,"$1,000,000.00","$37,034,514.00",English,PG
50,1940,Jan,12,84,The Shop Around the Corner (1940),"['Comedy', 'Drama', 'Romance']",99,Ernst Lubitsch,Margaret Sullavan,James Stewart,-,-,English,NR
51,1952,Oct,09,84,Ikiru (1952),['Drama'],143,Akira Kurosawa,Takashi Shimura,Haruo Tanaka,-,"$55,240.00",Japanese,U
52,2010,Jul,15,84,Inception (2010),"['Action', 'Science Fiction', 'Adventure']",148,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,"$160,000,000.00","$825,532,764.00",English,B
53,1995,Sep,22,84,Se7en (1995),"['Crime', 'Mystery', 'Thriller']",127,David Fincher,Brad Pitt,Morgan Freeman,"$33,000,000.00","$327,311,859.00",English,R
54,1940,Oct,15,84,The Great Dictator (1940),"['Comedy', 'War']",125,Charlie Chaplin,Charlie Chaplin,Jack Oakie,"$2,000,000.00","$11,000,000.00",English,NR
55,2019,Nov,01,84,Dedicated to my ex (2019),"['Drama', 'Comedy']",94,Jorge Ulloa,Raúl Santana,Nataly Valencia,-,"$1,315,376.00",Spanish; Castilian,
56,2020,Dec,21,83,"ariana grande: excuse me, i love you (2020)","['Music', 'Documentary']",97,Paul Dugdale,Ariana Grande,Scott Nicholson,-,-,English,18
57,1997,Jul,12,83,Princess Mononoke (1997),"['Adventure', 'Fantasy', 'Animation']",134,Hayao Miyazaki,Youji Matsuda,Yuriko Ishida,"$26,500,000.00","$159,414,369.00",Japanese,B
58,2020,Aug,22,83,Given (2020),"['Animation', 'Drama', 'Music', 'Romance']",1,Hikaru Yamaguchi,Takuya Eguchi,Masatomo Nakazawa,-,-,Japanese,
59,1931,Feb,01,83,City Lights (1931),"['Comedy', 'Drama', 'Romance']",87,Charlie Chaplin,Charlie Chaplin,Virginia Cherrill,"$1,500,000.00","$4,250,000.00",English,G
60,2022,May,24,83,Top Gun: Maverick (2022),"['Action', 'Drama']",131,Jack Epps Jr.,Tom Cruise,Miles Teller,"$170,000,000.00","$1,482,656,000.00",English,PG13
61,2020,Oct,26,83,Wolfwalkers (2020),"['Animation', 'Family', 'Adventure', 'Fantasy']",103,Ross Stewart,Honor Kneafsey,Eva Whittaker,"$12,000,000.00","$1,266,570.00",English,PG
62,1991,Feb,14,83,The Silence of the Lambs (1991),"['Crime', 'Drama', 'Thriller']",119,Jonathan Demme,Jodie Foster,Anthony Hopkins,"$19,000,000.00","$272,742,922.00",English,C
63,2020,Oct,14,83,BLACKPINK: Light Up the Sky (2020),"['Documentary', 'Music']",79,Caroline Suh,Lisa,Rosé,-,-,Korean,PG13
64,1963,Mar,01,83,High and Low (1963),"['Crime', 'Drama', 'Mystery', 'Thriller']",142,Akira Kurosawa,Toshirō Mifune,Tatsuya Nakadai,"$250,000.00",-,Japanese,12
65,1994,Sep,14,83,Léon: The Professional (1994),"['Crime', 'Drama', 'Action']",111,Luc Besson,Jean Reno,Natalie Portman,"$16,000,000.00","$45,284,974.00",English,R
66,2020,Oct,16,83,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train (2020),"['Animation', 'Action', 'Adventure', 'Fantasy']",117,Haruo Sotozaki,Natsuki Hanae,Akari Kito,"$15,800,000.00","$503,063,688.00",Japanese,R
67,1936,Feb,05,83,Modern Times (1936),"['Comedy', 'Drama']",87,Charlie Chaplin,Charlie Chaplin,Paulette Goddard,"$1,500,000.00",-,English,A
68,1989,Jun,02,83,Dead Poets Society (1989),['Drama'],128,Peter Weir,Robin Williams,Ethan Hawke,"$16,400,000.00","$235,860,116.00",English,PG
69,2020,Oct,09,83,Clouds (2020),"['Music', 'Drama', 'Romance']",121,Kara Holden,Steffan Argus,Sabrina Carpenter,-,-,English,PG13
70,1985,Jul,09,83,Come and See (1985),"['Drama', 'War']",142,Elem Klimov,Aleksei Kravchenko,Olga Mironova,-,"$168,817.00",Russian,NR
71,2019,Mar,14,83,Five Feet Apart (2019),"['Romance', 'Drama']",116,Justin Baldoni,Haley Lu Richardson,Cole Sprouse,"$7,000,000.00","$91,500,000.00",English,PG13
72,1968,Dec,21,83,Once Upon a Time in the West (1968),"['Drama', 'Western']",166,Sergio Leone,Claudia Cardinale,Henry Fonda,"$5,000,000.00","$5,380,118.00",Italian,B
73,2020,Nov,27,83,Life in a Year (2020),"['Drama', 'Romance']",107,Mitja Okorn,Jaden Smith,Cara Delevingne,-,-,English,PG13
74,2022,Jul,29,83,Purple Hearts (2022),"['Romance', 'Drama']",122,Elizabeth Allen Rosenbaum,Sofia Carson,Nicholas Galitzine,-,-,English,PG13
75,1985,Jul,03,83,Back to the Future (1985),"['Adventure', 'Comedy', 'Science Fiction']",116,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,"$19,000,000.00","$381,109,762.00",English,A
76,2020,Jul,03,83,Hamilton (2020),"['History', 'Drama']",160,Thomas Kail,Lin-Manuel Miranda,Leslie Odom Jr.,-,-,English,PG13
77,2021,Dec,24,83,Jujutsu Kaisen 0 (2021),"['Animation', 'Action', 'Fantasy']",105,Sunghoo Park,Megumi Ogata,Kana Hanazawa,-,"$161,577,527.00",Japanese,PG13
78,1957,Oct,25,83,Paths of Glory (1957),"['Drama', 'War']",88,Stanley Kubrick,Kirk Douglas,Ralph Meeker,"$935,000.00",-,English,NR
79,1960,Mar,18,83,Le Trou (1960),"['Crime', 'Drama', 'Thriller', 'History']",132,Jacques Becker,Michel Constantin,Jean Keraudy,-,"$33,187.00",French,NR
80,2020,May,05,83,Justice League Dark: Apokolips War (2020),"['Animation', 'Action', 'Science Fiction']",90,Mairghread Scott,Matt Ryan,Jerry O'Connell,-,-,English,R
81,1997,Jul,25,83,Perfect Blue (1997),"['Animation', 'Thriller']",81,Satoshi Kon,Junko Iwao,Rica Matsumoto,"$830,000.00","$112,536.00",Japanese,C
82,1979,Aug,15,83,Apocalypse Now (1979),"['Drama', 'War']",147,Francis Ford Coppola,Martin Sheen,Marlon Brando,"$31,500,000.00","$150,000,000.00",English,C
83,2019,Apr,24,83,Avengers: Endgame (2019),"['Adventure', 'Science Fiction', 'Action']",181,Joe Simon,Robert Downey Jr.,Chris Evans,"$356,000,000.00","$2,797,800,564.00",English,B
84,2019,Oct,10,83,Miracle in Cell No. 7 (2019),['Drama'],132,Mehmet Ada Öztekin,Aras Bulut İynemli,Nisa Sofiya Aksongur,-,"$19,289,062.00",Turkish,16
85,2019,Jun,15,83,Rascal Does Not Dream of a Dreaming Girl (2019),"['Animation', 'Comedy', 'Romance', 'Drama', 'Fantasy']",90,Souichi Masui,Kaito Ishikawa,Asami Seto,-,-,Japanese,PG13
86,1974,Dec,21,83,We All Loved Each Other So Much (1974),"['Drama', 'Comedy']",124,Ettore Scola,Nino Manfredi,Vittorio Gassman,-,-,Italian,T
87,2019,Sep,02,83,Steven Universe: The Movie (2019),"['Animation', 'Family', 'Fantasy', 'TV Movie', 'Science Fiction', 'Adventure', 'Music']",82,Rebecca Sugar,Zach Callison,Deedee Magno,-,-,English,PG
88,1964,Feb,15,83,Woman in the Dunes (1964),"['Drama', 'Thriller']",147,Kōbō Abe,Eiji Okada,Kyōko Kishida,-,-,Japanese,18
89,2003,Nov,21,83,Oldboy (2003),"['Drama', 'Thriller', 'Mystery', 'Action']",2,Park Chan-wook,Choi Min-sik,Yoo Ji-tae,"$3,000,000.00","$15,194,593.00",Korean,C
90,2014,Sep,19,83,Mommy (2014),['Drama'],138,Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,"$4,900,000.00","$3,494,070.00",French,R
91,2011,Nov,02,83,The Intouchables (2011),"['Drama', 'Comedy']",113,Éric Toledano,François Cluzet,Omar Sy,"$13,000,000.00","$426,588,510.00",French,B
92,1998,Oct,28,83,The Legend of 1900 (1998),"['Drama', 'Music', 'Romance']",170,Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,"$9,000,000.00","$21,057,208.00",Italian,R
93,2018,Apr,25,83,Avengers: Infinity War (2018),"['Adventure', 'Action', 'Science Fiction']",149,Anthony Russo,Robert Downey Jr.,Chris Hemsworth,"$300,000,000.00","$2,046,239,637.00",English,B
94,1946,Dec,20,83,It's a Wonderful Life (1946),"['Drama', 'Family', 'Fantasy']",130,Frank Capra,James Stewart,Donna Reed,"$3,180,000.00","$9,644,124.00",English,PG
95,2016,Jun,01,83,The Handmaiden (2016),"['Thriller', 'Drama', 'Romance']",145,Park Chan-wook,Kim Min-hee,Kim Tae-ri,"$8,575,000.00","$37,767,206.00",Korean,R
96,2018,Aug,01,83,Along with the Gods: The Last 49 Days (2018),"['Drama', 'Fantasy', 'Action']",141,Kim Yong-hwa,Ha Jung-woo,Ju Ji-hoon,"$18,300,000.00","$112,790,210.00",Korean,NR
97,1994,Jun,23,83,The Lion King (1994),"['Family', 'Animation', 'Drama']",89,Roger Allers,Matthew Broderick,James Earl Jones,"$45,000,000.00","$763,455,561.00",English,AA
98,2019,Aug,08,83,The Art of Racing in the Rain (2019),"['Comedy', 'Drama', 'Romance']",109,Simon Curtis,Milo Ventimiglia,Kevin Costner,"$18,000,000.00","$33,766,787.00",English,PG
99,2019,Nov,08,83,Klaus (2019),"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",96,Sergio Pablos,Jason Schwartzman,J.K. Simmons,-,-,English,PG
100,1953,Nov,03,83,Tokyo Story (1953),['Drama'],137,Yasujirō Ozu,Chishū Ryū,Chieko Higashiyama,-,-,Japanese,NR
101,1966,Oct,18,83,Persona (1966),['Drama'],83,Ingmar Bergman,Bibi Andersson,Liv Ullmann,-,-,Swedish,15
102,2018,Feb,24,83,Maquia: When the Promised Flower Blooms (2018),"['Animation', 'Fantasy', 'Romance', 'Drama']",115,Mari Okada,Manaka Iwami,Miyu Irino,-,"$4,300,000.00",Japanese,B
103,2019,Aug,30,83,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson (2019),"['Animation', 'Adventure', 'Comedy', 'Fantasy']",90,Takaomi Kanasaki,Jun Fukushima,Rie Takahashi,-,-,Japanese,保護級
104,1962,Dec,05,83,Il Sorpasso (1962),"['Drama', 'Comedy']",105,Dino Risi,Vittorio Gassman,Jean-Louis Trintignant,-,-,Italian,6
105,2019,Dec,20,82,My Hero Academia: Heroes Rising (2019),"['Animation', 'Action', 'Fantasy', 'Adventure']",104,Kohei Horikoshi,Daiki Yamashita,Nobuhiko Okamoto,-,"$29,900,850.00",Japanese,PG13
106,2018,Nov,16,82,Green Book (2018),"['Drama', 'Comedy']",130,Peter Farrelly,Viggo Mortensen,Mahershala Ali,"$23,000,000.00","$319,700,000.00",English,PG13
107,2021,Mar,18,82,Zack Snyder's Justice League (2021),"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",242,Zack Snyder,Ben Affleck,Henry Cavill,"$70,000,000.00","$657,900,000.00",English,B15
108,1992,Sep,15,82,Baraka (1992),['Documentary'],97,Ron Fricke,Patrick Disanto,None,"$4,000,000.00",-,English,NR
109,1948,Nov,24,82,Bicycle Thieves (1948),['Drama'],89,Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,"$133,000.00","$436,655.00",Italian,NR
110,2012,Jul,21,82,Wolf Children (2012),"['Animation', 'Drama', 'Family', 'Fantasy']",117,Mamoru Hosoda,Haru Kuroki,Yukito Nishii,-,"$55,060,661.00",Japanese,PG
111,1955,Jun,04,82,Night and Fog (1955),"['History', 'Documentary', 'War']",32,Alain Resnais,Michel Bouquet,Reinhard Heydrich,-,-,French,
112,2020,Sep,25,82,"Miraculous World: New York, United HeroeZ (2020)","['Animation', 'Family', 'Adventure', 'TV Movie', 'Fantasy', 'Action']",55,Thomas Astruc,Anouck Hautbois,Benjamin Bollen,-,-,French,PG
113,2013,Nov,23,82,Doctor Who: The Day of the Doctor (2013),"['Science Fiction', 'Adventure']",77,Nick Hurran,Matt Smith,David Tennant,-,"$10,000,000.00",English,
114,2018,Sep,14,82,I Want to Eat Your Pancreas (2018),"['Animation', 'Drama', 'Romance']",108,Shinichiro Ushijima,Mahiro Takasugi,Lynn,-,"$33,748,006.00",Japanese,PG
115,1960,Jun,21,82,The Apartment (1960),"['Comedy', 'Drama', 'Romance']",125,Billy Wilder,Jack Lemmon,Shirley MacLaine,"$3,000,000.00","$25,000,000.00",English,NR
116,2017,Oct,27,82,Coco (2017),"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']",105,Lee Unkrich,Anthony Gonzalez,Gael García Bernal,"$175,000,000.00","$800,526,015.00",English,A
117,1979,May,25,82,Stalker (1979),"['Science Fiction', 'Drama']",162,Andrei Tarkovsky,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,"$120,000.00",-,Russian,NR
118,1957,Dec,17,82,Witness for the Prosecution (1957),"['Drama', 'Mystery', 'Crime']",116,Billy Wilder,Charles Laughton,Tyrone Power,"$3,000,000.00","$9,000,000.00",English,NR
119,1980,May,23,82,The Shining (1980),"['Horror', 'Thriller']",144,Stanley Kubrick,Jack Nicholson,Shelley Duvall,"$19,000,000.00","$44,781,695.00",English,R
120,1971,Dec,19,82,A Clockwork Orange (1971),"['Science Fiction', 'Drama']",137,Stanley Kubrick,Malcolm McDowell,Patrick Magee,"$2,200,000.00","$26,589,000.00",English,C
121,1963,Feb,14,82,8½ (1963),"['Fantasy', 'Drama']",139,Federico Fellini,Marcello Mastroianni,Claudia Cardinale,-,-,Italian,NR
122,1957,Feb,16,82,The Seventh Seal (1957),"['Fantasy', 'Drama']",96,Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,-,-,Swedish,NR
123,2020,Apr,12,82,Mortal Kombat Legends: Scorpion's Revenge (2020),"['Animation', 'Action', 'Fantasy']",80,Ethan Spaulding,Patrick Seitz,Jordan Rodrigues,-,-,English,R
124,1921,Jan,21,82,The Kid (1921),"['Comedy', 'Drama']",68,Charlie Chaplin,Charlie Chaplin,Jackie Coogan,"$250,000.00","$2,500,000.00",English,A
125,2009,Aug,19,82,Inglourious Basterds (2009),"['Drama', 'Action', 'Thriller', 'War']",153,Quentin Tarantino,Brad Pitt,Mélanie Laurent,"$70,000,000.00","$321,457,747.00",English,R
126,1958,May,28,82,Vertigo (1958),"['Mystery', 'Romance', 'Thriller']",128,Alfred Hitchcock,James Stewart,Kim Novak,"$2,479,000.00","$7,797,728.00",English,PG
127,1977,May,25,82,Star Wars (1977),"['Adventure', 'Action', 'Science Fiction']",121,George Lucas,Mark Hamill,Harrison Ford,"$11,000,000.00","$775,398,007.00",English,AA
128,2018,Oct,19,82,The Hate U Give (2018),"['Crime', 'Drama']",133,"George Tillman, Jr.",Amandla Stenberg,Regina Hall,"$23,000,000.00","$34,934,009.00",English,PG13
129,1970,Oct,16,82,Investigation of a Citizen Above Suspicion (1970),"['Drama', 'Thriller']",111,Elio Petri,Gian Maria Volonté,Florinda Bolkan,-,-,Italian,16
130,1945,Mar,15,82,Children of Paradise (1945),"['Drama', 'Romance']",191,Marcel Carné,Arletty,Jean-Louis Barrault,-,"$1,457.00",French,U
131,2000,May,04,82,Gladiator (2000),"['Action', 'Drama', 'Adventure']",155,David Franzoni,Russell Crowe,Joaquin Phoenix,"$103,000,000.00","$465,361,176.00",English,B15
132,1998,Jul,24,82,Saving Private Ryan (1998),"['Drama', 'History', 'War']",169,Steven Spielberg,Tom Hanks,Tom Sizemore,"$70,000,000.00","$481,840,909.00",English,B
133,2006,Oct,19,82,The Prestige (2006),"['Drama', 'Mystery', 'Science Fiction']",130,Christopher Nolan,Hugh Jackman,Christian Bale,"$40,000,000.00","$109,676,311.00",English,PG13
134,1995,Jul,19,82,The Usual Suspects (1995),"['Drama', 'Crime', 'Thriller']",106,Bryan Singer,Gabriel Byrne,Stephen Baldwin,"$6,000,000.00","$23,341,568.00",English,B
135,2011,Aug,09,82,The Help (2011),['Drama'],146,Tate Taylor,Emma Stone,Viola Davis,"$25,000,000.00","$216,639,112.00",English,PG13
136,2019,Jun,17,82,Portrait of a Lady on Fire (2019),"['Drama', 'Romance']",2,Céline Sciamma,Noémie Merlant,Adèle Haenel,"$5,740,000.00","$9,923,127.00",French,R
137,2021,Feb,06,82,New Gods: Nezha Reborn (2021),"['Animation', 'Action', 'Fantasy']",116,Zhao Ji,Yang Tianxiang,He Zhang,-,-,Chinese,G
138,2000,Oct,11,82,Memento (2000),"['Mystery', 'Thriller']",113,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,"$9,000,000.00","$39,723,096.00",English,R
139,1999,Mar,30,82,The Matrix (1999),"['Action', 'Science Fiction']",136,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,"$63,000,000.00","$463,517,383.00",English,B
140,2016,Oct,07,82,Hacksaw Ridge (2016),"['Drama', 'History', 'War']",139,Mel Gibson,Andrew Garfield,Sam Worthington,"$40,000,000.00","$175,302,354.00",English,R
141,2010,Feb,14,82,Shutter Island (2010),"['Drama', 'Thriller', 'Mystery']",138,Martin Scorsese,Leonardo DiCaprio,Mark Ruffalo,"$80,000,000.00","$294,800,000.00",English,R
142,2017,Sep,01,82,Call Me by Your Name (2017),"['Romance', 'Drama']",132,Luca Guadagnino,Timothée Chalamet,Armie Hammer,"$4,000,000.00","$41,063,475.00",English,R
143,2019,Dec,26,82,My Mom is a Character 3 (2019),['Comedy'],111,Susana Garcia,Paulo Gustavo,Rodrigo Pandolfo,"$2,000,000.00","$39,273,021.00",Portuguese,12
144,2016,Jun,16,82,Piper (2016),"['Family', 'Animation']",6,Alan Barillaro,None,None,-,-,English,G
145,2018,Sep,20,82,Capernaum (2018),['Drama'],126,Nadine Labaki,Zain Al Rafeea,Yordanos Shifera,"$4,000,000.00","$64,978,931.00",Arabic,U
146,2020,Dec,25,82,Soul (2020),"['Animation', 'Family', 'Comedy', 'Fantasy', 'Drama']",101,Pete Docter,Jamie Foxx,Tina Fey,"$150,000,000.00","$136,384,442.00",English,A
147,2019,Oct,01,82,Joker (2019),"['Crime', 'Thriller', 'Drama']",122,Todd Phillips,Joaquin Phoenix,Robert De Niro,"$55,000,000.00","$1,074,251,311.00",English,B15
148,1976,Feb,09,82,Taxi Driver (1976),"['Crime', 'Drama']",114,Martin Scorsese,Robert De Niro,Jodie Foster,"$1,300,000.00","$28,570,902.00",English,R
149,1927,Feb,06,82,Metropolis (1927),"['Drama', 'Science Fiction']",149,Fritz Lang,Gustav Fröhlich,Brigitte Helm,"$1,300,000.00","$650,422.00",German,NR
